player_a,player_b,minimax_depth,time,won,rounds_a,rounds_b,time_per_round_a,time_per_round_b
minimax,minimax,1,0.718,A,47,46,0.007,0.008
minimax,minimax,1,0.700,A,47,46,0.007,0.008
minimax,minimax,1,0.713,A,47,46,0.007,0.008
minimax,minimax,1,0.722,A,47,46,0.007,0.008
minimax,minimax,1,0.701,A,47,46,0.007,0.008
minimax,minimax,1,0.718,A,47,46,0.007,0.008
minimax,minimax,1,0.703,A,47,46,0.007,0.008
minimax,minimax,1,0.710,A,47,46,0.007,0.008
minimax,minimax,1,0.695,A,47,46,0.007,0.008
minimax,minimax,1,0.712,A,47,46,0.007,0.008
minimax,minimax,1,0.711,A,47,46,0.007,0.008
minimax,minimax,1,0.703,A,47,46,0.007,0.008
minimax,minimax,1,0.715,A,47,46,0.007,0.008
minimax,minimax,1,0.737,A,47,46,0.007,0.008
minimax,minimax,1,0.802,A,47,46,0.008,0.009
minimax,minimax,1,0.730,A,47,46,0.007,0.008
minimax,minimax,1,0.705,A,47,46,0.007,0.008
minimax,minimax,1,0.717,A,47,46,0.007,0.008
minimax,minimax,1,0.706,A,47,46,0.007,0.008
minimax,minimax,1,0.722,A,47,46,0.007,0.008
minimax,minimax,2,1.606,A,47,46,0.015,0.019
minimax,minimax,2,1.619,A,47,46,0.016,0.019
minimax,minimax,2,1.622,A,47,46,0.016,0.019
minimax,minimax,2,1.618,A,47,46,0.015,0.019
minimax,minimax,2,1.613,A,47,46,0.016,0.019
minimax,minimax,2,1.615,A,47,46,0.015,0.019
minimax,minimax,2,1.612,A,47,46,0.016,0.019
minimax,minimax,2,1.612,A,47,46,0.016,0.018
minimax,minimax,2,1.615,A,47,46,0.015,0.019
minimax,minimax,2,1.612,A,47,46,0.015,0.019
minimax,minimax,2,1.614,A,47,46,0.016,0.018
minimax,minimax,2,1.612,A,47,46,0.015,0.019
minimax,minimax,2,1.617,A,47,46,0.016,0.018
minimax,minimax,2,1.597,A,47,46,0.016,0.018
minimax,minimax,2,1.614,A,47,46,0.016,0.019
minimax,minimax,2,1.618,A,47,46,0.015,0.019
minimax,minimax,2,1.613,A,47,46,0.015,0.019
minimax,minimax,2,1.613,A,47,46,0.016,0.019
minimax,minimax,2,1.610,A,47,46,0.016,0.019
minimax,minimax,2,1.607,A,47,46,0.015,0.019
minimax,minimax,4,15.952,A,47,46,0.144,0.200
minimax,minimax,4,16.116,A,47,46,0.145,0.201
minimax,minimax,4,15.995,A,47,46,0.143,0.202
minimax,minimax,4,15.920,A,47,46,0.142,0.200
minimax,minimax,4,15.978,A,47,46,0.144,0.200
minimax,minimax,4,16.085,A,47,46,0.143,0.203
minimax,minimax,4,15.936,A,47,46,0.143,0.200
minimax,minimax,4,15.919,A,47,46,0.142,0.200
minimax,minimax,4,15.927,A,47,46,0.143,0.200
minimax,minimax,4,15.994,A,47,46,0.143,0.201
minimax,minimax,4,15.994,A,47,46,0.142,0.202
minimax,minimax,4,16.006,A,47,46,0.143,0.202
minimax,minimax,5,53.153,A,47,46,0.443,0.703
minimax,minimax,5,53.240,A,47,46,0.443,0.704
minimax,minimax,5,53.218,A,47,46,0.444,0.703
minimax,minimax,5,53.244,A,47,46,0.444,0.703
minimax,minimax,5,53.881,A,47,46,0.449,0.712
minimax,minimax,5,53.453,A,47,46,0.446,0.706
minimax,minimax,6,108.059,B,20,20,1.930,3.472
minimax,minimax,6,107.796,B,20,20,1.920,3.469
minimax,minimax,6,107.834,B,20,20,1.924,3.468
minimax,minimax,6,107.673,B,20,20,1.923,3.460
minimax,minimax,6,107.826,B,20,20,1.921,3.470
minimax,minimax,6,107.949,B,20,20,1.925,3.472

